Year,Quarter,Month,City,Index,AVG_PRICE_SQM,MED_PRICE_SQM,P75_PRICE_SQM,P25_PRICE_SQM,Inflation_adjusted,TOM_4Q,Closed_one_week_4Q,Granularity
2012,1.0,1.0,GREIX_NATIONAL,89.23342895507812,8.370000000000001,8.15,9.73,6.78,0,,,monthly
2012,1.0,1.0,GREIX_NATIONAL,93.08868408203125,8.74,8.5,10.15,7.07,1,,,monthly
2012,1.0,2.0,GREIX_NATIONAL,89.99848937988281,8.45,8.22,9.82,6.83,0,,,monthly
2012,1.0,2.0,GREIX_NATIONAL,93.26911926269531,8.75,8.52,10.17,7.08,1,,,monthly
2012,1.0,3.0,GREIX_NATIONAL,90.10714721679688,8.46,8.23,9.83,6.84,0,,,monthly
2012,1.0,3.0,GREIX_NATIONAL,92.87255859375,8.72,8.48,10.13,7.05,1,,,monthly
2012,1.0,,GREIX_NATIONAL,89.88568115234375,8.48,8.25,9.83,6.84,0,,,quarterly
2012,1.0,,GREIX_NATIONAL,93.18682861328125,8.790000000000001,8.56,10.200000000000001,7.09,1,,,quarterly
2012,2.0,4.0,GREIX_NATIONAL,90.99142456054688,8.540000000000001,8.31,9.92,6.91,0,,,monthly
2012,2.0,4.0,GREIX_NATIONAL,93.8863754272461,8.81,8.58,10.24,7.13,1,,,monthly
2012,2.0,5.0,GREIX_NATIONAL,90.98934936523438,8.540000000000001,8.31,9.92,6.91,0,,,monthly
2012,2.0,5.0,GREIX_NATIONAL,93.98683166503906,8.82,8.59,10.25,7.140000000000001,1,,,monthly
2012,2.0,6.0,GREIX_NATIONAL,91.6755599975586,8.6,8.370000000000001,10.0,6.96,0,,,monthly
2012,2.0,6.0,GREIX_NATIONAL,94.79924011230469,8.9,8.66,10.34,7.2,1,,,monthly
2012,2.0,,GREIX_NATIONAL,91.35171508789062,8.620000000000001,8.39,10.0,6.95,0,,,quarterly
2012,2.0,,GREIX_NATIONAL,94.36168670654297,8.9,8.66,10.32,7.18,1,,,quarterly
2012,3.0,7.0,GREIX_NATIONAL,91.37657928466797,8.58,8.35,9.97,6.94,0,,,monthly
2012,3.0,7.0,GREIX_NATIONAL,94.18095397949219,8.84,8.6,10.27,7.15,1,,,monthly
2012,3.0,8.0,GREIX_NATIONAL,91.59185791015625,8.6,8.370000000000001,9.99,6.95,0,,,monthly
2012,3.0,8.0,GREIX_NATIONAL,93.99283599853516,8.82,8.59,10.25,7.140000000000001,1,,,monthly
2012,3.0,9.0,GREIX_NATIONAL,91.67799377441406,8.6,8.370000000000001,10.0,6.96,0,,,monthly
2012,3.0,9.0,GREIX_NATIONAL,93.97919464111328,8.82,8.58,10.25,7.140000000000001,1,,,monthly
2012,3.0,,GREIX_NATIONAL,91.58679962158203,8.64,8.41,10.02,6.97,0,,,quarterly
2012,3.0,,GREIX_NATIONAL,94.09037017822266,8.88,8.64,10.290000000000001,7.16,1,,,quarterly
2012,4.0,10.0,GREIX_NATIONAL,91.5240478515625,8.59,8.36,9.98,6.95,0,,,monthly
2012,4.0,10.0,GREIX_NATIONAL,93.8213882446289,8.81,8.57,10.23,7.12,1,,,monthly
2012,4.0,11.0,GREIX_NATIONAL,91.87848663330078,8.620000000000001,8.39,10.02,6.98,0,,,monthly
2012,4.0,11.0,GREIX_NATIONAL,94.18473052978516,8.84,8.6,10.27,7.15,1,,,monthly
2012,4.0,12.0,GREIX_NATIONAL,92.46162414550781,8.68,8.45,10.09,7.0200000000000005,0,,,monthly
2012,4.0,12.0,GREIX_NATIONAL,94.47509765625,8.870000000000001,8.63,10.31,7.17,1,,,monthly
2012,4.0,,GREIX_NATIONAL,91.99034881591797,8.68,8.45,10.06,7.0,0,39.89802932739258,0.18665239214897156,quarterly
2012,4.0,,GREIX_NATIONAL,94.19776916503906,8.89,8.65,10.31,7.17,1,39.89802932739258,0.18665239214897156,quarterly
2012,,,GREIX_NATIONAL,91.35318083966838,8.75,8.5,10.19,7.05,0,,,annual
2012,,,GREIX_NATIONAL,94.11643059530768,9.02,8.76,10.5,7.26,1,,,annual
2013,1.0,1.0,GREIX_NATIONAL,93.72806549072266,8.8,8.56,10.22,7.12,0,,,monthly
2013,1.0,1.0,GREIX_NATIONAL,96.18505859375,9.03,8.790000000000001,10.49,7.3,1,,,monthly
2013,1.0,2.0,GREIX_NATIONAL,94.14832305908203,8.84,8.6,10.27,7.15,0,,,monthly
2013,1.0,2.0,GREIX_NATIONAL,96.09464263916016,9.02,8.78,10.48,7.3,1,,,monthly
2013,1.0,3.0,GREIX_NATIONAL,93.88225555419922,8.81,8.58,10.24,7.13,0,,,monthly
2013,1.0,3.0,GREIX_NATIONAL,95.41094207763672,8.950000000000001,8.72,10.41,7.24,1,,,monthly
2013,1.0,,GREIX_NATIONAL,93.9931411743164,8.870000000000001,8.63,10.28,7.15,0,43.85737609863281,0.16345606744289398,quarterly
2013,1.0,,GREIX_NATIONAL,95.97134399414062,9.06,8.81,10.5,7.3100000000000005,1,43.85737609863281,0.16345606744289398,quarterly
2013,2.0,4.0,GREIX_NATIONAL,94.50057983398438,8.870000000000001,8.63,10.31,7.18,0,,,monthly
2013,2.0,4.0,GREIX_NATIONAL,96.45418548583984,9.05,8.81,10.52,7.32,1,,,monthly
2013,2.0,5.0,GREIX_NATIONAL,94.74455261230469,8.89,8.65,10.33,7.19,0,,,monthly
2013,2.0,5.0,GREIX_NATIONAL,96.28727722167969,9.040000000000001,8.8,10.5,7.3100000000000005,1,,,monthly
2013,2.0,6.0,GREIX_NATIONAL,95.01667022705078,8.92,8.68,10.36,7.21,0,,,monthly
2013,2.0,6.0,GREIX_NATIONAL,96.4601058959961,9.05,8.81,10.52,7.32,1,,,monthly
2013,2.0,,GREIX_NATIONAL,94.79976654052734,8.950000000000001,8.700000000000001,10.370000000000001,7.22,0,42.63410949707031,0.15816877782344818,quarterly
2013,2.0,,GREIX_NATIONAL,96.44763946533203,9.1,8.86,10.55,7.34,1,42.63410949707031,0.15816877782344818,quarterly
2013,3.0,7.0,GREIX_NATIONAL,94.68452453613281,8.89,8.65,10.33,7.19,0,,,monthly
2013,3.0,7.0,GREIX_NATIONAL,95.71170043945312,8.98,8.74,10.44,7.2700000000000005,1,,,monthly
2013,3.0,8.0,GREIX_NATIONAL,94.84971618652344,8.9,8.66,10.35,7.2,0,,,monthly
2013,3.0,8.0,GREIX_NATIONAL,95.87869262695312,9.0,8.76,10.46,7.28,1,,,monthly
2013,3.0,9.0,GREIX_NATIONAL,95.61314392089844,8.97,8.73,10.43,7.26,0,,,monthly
2013,3.0,9.0,GREIX_NATIONAL,96.65040588378906,9.07,8.83,10.540000000000001,7.34,1,,,monthly
2013,3.0,,GREIX_NATIONAL,95.14403533935547,8.98,8.74,10.41,7.24,0,42.20768356323242,0.1720370054244995,quarterly
2013,3.0,,GREIX_NATIONAL,96.17672729492188,9.08,8.83,10.52,7.32,1,42.20768356323242,0.1720370054244995,quarterly
2013,4.0,10.0,GREIX_NATIONAL,95.56354522705078,8.97,8.73,10.42,7.26,0,,,monthly
2013,4.0,10.0,GREIX_NATIONAL,96.80734252929688,9.09,8.84,10.56,7.3500000000000005,1,,,monthly
2013,4.0,11.0,GREIX_NATIONAL,95.62075805664062,8.97,8.73,10.43,7.26,0,,,monthly
2013,4.0,11.0,GREIX_NATIONAL,96.6581039428711,9.07,8.83,10.540000000000001,7.34,1,,,monthly
2013,4.0,12.0,GREIX_NATIONAL,95.88030242919922,9.0,8.76,10.46,7.28,0,,,monthly
2013,4.0,12.0,GREIX_NATIONAL,96.5075912475586,9.06,8.82,10.53,7.33,1,,,monthly
2013,4.0,,GREIX_NATIONAL,95.72747802734375,9.03,8.790000000000001,10.47,7.29,0,41.48476791381836,0.17077304422855377,quarterly
2013,4.0,,GREIX_NATIONAL,96.69755554199219,9.120000000000001,8.88,10.58,7.36,1,41.48476791381836,0.17077304422855377,quarterly
2013,,,GREIX_NATIONAL,94.83647388932864,9.08,8.83,10.58,7.3100000000000005,0,,,annual
2013,,,GREIX_NATIONAL,96.24509391394011,9.22,8.96,10.73,7.42,1,,,annual
2014,1.0,1.0,GREIX_NATIONAL,95.75492858886719,8.99,8.75,10.44,7.2700000000000005,0,,,monthly
2014,1.0,1.0,GREIX_NATIONAL,97.00120544433594,9.1,8.86,10.58,7.37,1,,,monthly
2014,1.0,2.0,GREIX_NATIONAL,95.73531341552734,8.98,8.75,10.44,7.2700000000000005,0,,,monthly
2014,1.0,2.0,GREIX_NATIONAL,96.46437072753906,9.05,8.81,10.52,7.32,1,,,monthly
2014,1.0,3.0,GREIX_NATIONAL,96.30754852294922,9.040000000000001,8.8,10.5,7.3100000000000005,0,,,monthly
2014,1.0,3.0,GREIX_NATIONAL,96.83448791503906,9.09,8.85,10.56,7.3500000000000005,1,,,monthly
2014,1.0,,GREIX_NATIONAL,95.99502563476562,9.06,8.81,10.5,7.3100000000000005,0,39.780906677246094,0.16670750081539154,quarterly
2014,1.0,,GREIX_NATIONAL,96.82982635498047,9.14,8.89,10.59,7.37,1,39.780906677246094,0.16670750081539154,quarterly
2014,2.0,4.0,GREIX_NATIONAL,96.7132568359375,9.08,8.83,10.55,7.34,0,,,monthly
2014,2.0,4.0,GREIX_NATIONAL,97.34597778320312,9.14,8.89,10.620000000000001,7.390000000000001,1,,,monthly
2014,2.0,5.0,GREIX_NATIONAL,96.7768783569336,9.08,8.84,10.56,7.3500000000000005,0,,,monthly
2014,2.0,5.0,GREIX_NATIONAL,97.51385498046875,9.15,8.91,10.64,7.4,1,,,monthly
2014,2.0,6.0,GREIX_NATIONAL,97.29918670654297,9.13,8.89,10.61,7.390000000000001,0,,,monthly
2014,2.0,6.0,GREIX_NATIONAL,97.83153533935547,9.18,8.94,10.67,7.43,1,,,monthly
2014,2.0,,GREIX_NATIONAL,96.96819305419922,9.15,8.9,10.61,7.38,0,39.14451217651367,0.17320095002651215,quarterly
2014,2.0,,GREIX_NATIONAL,97.60311889648438,9.21,8.96,10.68,7.43,1,39.14451217651367,0.17320095002651215,quarterly
2014,3.0,7.0,GREIX_NATIONAL,97.29820251464844,9.13,8.89,10.61,7.390000000000001,0,,,monthly
2014,3.0,7.0,GREIX_NATIONAL,97.5193099975586,9.15,8.91,10.64,7.4,1,,,monthly
2014,3.0,8.0,GREIX_NATIONAL,97.97083282470703,9.19,8.950000000000001,10.69,7.44,0,,,monthly
2014,3.0,8.0,GREIX_NATIONAL,98.19346618652344,9.22,8.97,10.71,7.46,1,,,monthly
